Class,Probability,RA,Dec,BP-RP,G,Parallax,Absolute Magnitude,Source ID
Eclipsing Binary,0.551538883074121,14.167415643648187,55.483077920521,1.5530205,17.69935,4.38968484122367,10.911516705275822,423457627625176192
CV,0.9972113536642508,12.2562861924581,56.87866843759875,0.9946537,18.063965,2.707066401083156,10.226459543112464,423864245075612416
CV,0.9912638392281028,294.8435507774995,66.89658655290378,0.5565796,19.243423,1.0799818548341966,9.410505294047796,2248871921597696256
Subdwarf,0.7211029154162929,294.8854846828995,67.58946528556712,-0.32534122,14.800949,0.705266155306071,4.042714215930149,2248962562587900032
CV,0.5294619246851141,297.25575939550504,67.50155413383202,0.022094727,18.02672,1.3528950173214107,8.683040486436187,2249098833310553728
ZZ Ceti,0.6970967232732116,298.9928163092951,68.45974769532745,0.010101318,18.45461,4.953094112099902,11.928992899731949,2250747615418035712
CV,0.7391837520315073,57.96448286458459,-26.04893118998421,1.0332661,17.366137,1.6335850603007789,8.431845764940295,5082671719789935616
CV,0.699293662903597,52.06627911729098,61.42150813677828,0.48076248,18.221724,4.059723717330351,11.264206394337142,462713869228951424
CV,0.8046728051168449,31.992999408476063,48.57537037719286,0.24722958,13.809433,2.3056358213195947,5.62338655451253,358062837831128064
Eclipsing Binary,0.5446397889420649,34.30327486322545,51.398182124626125,1.1499939,16.3199,2.642765283710187,8.430192965647107,358803805586735232
CV,0.9966050312416068,329.8160699008543,61.0890078877504,0.8243084,18.96557,2.219366381113585,10.696715015354156,2203244624288543744
CV,0.9885821922449688,330.9876277831873,61.53886511240264,1.7090015,18.390034,2.3288769672934264,10.22576672855376,2203373473312011008
CV,0.8408442875859183,116.52854871082134,-21.543089892692468,0.44674492,16.794903,0.6070011856730042,5.71085069698041,5712185733507082240
CV,0.818594164491235,119.03777311115996,-20.84170527935293,0.113082886,16.283728,0.4727100221147887,4.656702050260174,5712447314192763648
CV,0.9966326391498164,334.6231444665586,39.81041389017215,0.74975777,17.854582,1.017225224810348,7.891667605631367,1956939627235448704
Subdwarf,0.7700669013588387,305.77353902624355,16.81498472124551,-0.23837471,15.743784,0.700046820887008,4.9694194384488135,1808931377726170368
CV,0.9722941919911576,304.7302971493771,16.610965963109173,0.27309704,16.180809,0.7725371489790712,5.620405862547175,1809050880897877888
CV,0.7572575016833356,293.7115854741145,37.37667399140037,0.12667465,19.638813,3.0136912805922487,12.034306807905228,2051970241137323008
CV,0.9969950552630924,292.6716745116124,40.87362357175317,0.48324585,15.46111,1.297609710140678,6.026830433737132,2053553885771329280
CV,0.7855432448857206,18.17688519751041,58.46590399979441,0.90200424,17.974312,2.746114057057237,10.167904856276966,414071753997318272
Eclipsing Binary,0.834248388906199,11.259829641209349,50.56895872032538,-0.0718174,17.59766,1.794901890050472,8.867863574392919,414813439007636352
CV,0.6246374191160651,48.464216924115405,37.85258077952322,2.7744293,19.893494,8.586062798217256,14.562464302862155,139329494996974208
CV,0.9923434140697776,41.50990847018331,34.9189079239568,0.8156071,18.182487,1.4480663798806173,8.986429352658881,140033495973219712
ZZ Ceti,0.7379493625966416,42.12627022903918,37.42378203996374,0.045923233,17.190716,8.412958555419204,11.815459747325535,141730416074813312
Subdwarf,0.701672278190288,84.32928559624953,34.42062397562386,-0.0048151016,15.316966,0.7505826372295924,4.6939585696193085,3449621937199851648
CV,0.819220695063028,153.78901956857908,-3.142490545380002,0.23054218,14.368378,1.6098701288695596,5.402332210624198,3828660708104028032
CV,0.9960639519416964,341.0242606524957,43.75897659897485,0.11285591,16.560894,0.7230730988534295,5.856805021907828,1934177606236303744
ZZ Ceti,0.7158844017766339,138.16765989963812,0.5647975911815191,0.061231613,16.879951,9.640922980792766,11.800544066960716,3843303175034188544
ZZ Ceti,0.6719925679222988,19.081289461869243,57.00809512574648,0.1483078,17.609655,7.062888907993459,11.854566876488134,413322333748126592
Subdwarf,0.7023856570754841,102.27933524761556,1.635154090585459,-0.06573486,14.780212,0.7999457757217059,4.295514746816128,3126136549635234560
Eclipsing Binary,0.5837473833219184,108.18344277162991,-22.979271212210485,1.1750965,17.321903,1.65928763659024,8.42151138628814,2927924221248437376
Eclipsing Binary,0.5787940082633564,302.92670888616374,22.40272484729396,1.7750092,18.58576,2.4399074547363315,10.522626769686344,1829858412603120128
CV,0.925737226701956,269.49187507323234,4.458993615413759,0.69514275,16.273277,2.4035271563132183,8.177522166898642,4472788803304480896
CV,0.8676048079506979,282.5558294088516,24.37226123507026,0.56757736,17.446157,3.027895002041307,9.8518610555525,4534129393091539712
CV,0.7935135545260064,79.08613994042868,-16.559928437807823,0.40153503,15.300489,1.202881470162485,5.701603174145152,2983108331879225344
CV,0.7314324784448252,78.84056892383323,-12.00067904216438,1.0414982,19.017511,2.535473596036056,11.037806461215853,2989076893311254912
CV,0.7650067527788661,79.16423158660774,-10.53727401551276,0.24176407,16.620928,0.8335278606136358,6.22552860335489,2990095865712197632
Eclipsing Binary,0.5644286378412248,53.80325061933822,65.21435772372612,2.053749,19.557013,4.650704293676418,12.89460663293998,488463027101465728
CV,0.9884307859076013,302.5215415310653,13.050136866731291,0.70326614,17.573004,1.8377909462110376,8.894484538322745,1803110666252889856
Subdwarf,0.8080977403051117,302.488916166057,-7.138819703394085,-0.24018288,14.62451,0.7038987303975084,3.862060909395602,4216730794514795264
