Class,Probability,RA,Dec,BP-RP,G,Parallax,Absolute Magnitude,Source ID
Eclipsing Binary,0.7966666666666666,11.259829641209349,50.56895872032538,-0.0718174,17.59766,1.794901890050472,8.867863574392919,414813439007636352
CV,0.5566666666666666,44.41870479894303,33.468980061042366,1.6618614,18.918629,4.132126779846918,11.99949718929027,136889369456934912
CV,0.7383333333333333,48.464216924115405,37.85258077952322,2.7744293,19.893494,8.586062798217256,14.562464302862155,139329494996974208
CV,1.0,41.50990847018331,34.9189079239568,0.8156071,18.182487,1.4480663798806173,8.986429352658881,140033495973219712
ZZ Ceti,0.9383333333333334,42.12627022903918,37.42378203996374,0.045923233,17.190716,8.412958555419204,11.815459747325535,141730416074813312
Subdwarf,0.82,84.32928559624953,34.42062397562386,-0.0048151016,15.316966,0.7505826372295924,4.6939585696193085,3449621937199851648
CV,0.8483333333333334,153.78901956857908,-3.142490545380002,0.23054218,14.368378,1.6098701288695596,5.402332210624198,3828660708104028032
CV,1.0,341.0242606524957,43.75897659897485,0.11285591,16.560894,0.7230730988534295,5.856805021907828,1934177606236303744
ZZ Ceti,0.8933333333333333,138.16765989963812,0.5647975911815191,0.061231613,16.879951,9.640922980792766,11.800544066960716,3843303175034188544
ZZ Ceti,0.67,19.081289461869243,57.00809512574648,0.1483078,17.609655,7.062888907993459,11.854566876488134,413322333748126592
Subdwarf,0.7533333333333333,102.27933524761556,1.635154090585459,-0.06573486,14.780212,0.7999457757217059,4.295514746816128,3126136549635234560
Eclipsing Binary,0.55,108.18344277162991,-22.979271212210485,1.1750965,17.321903,1.65928763659024,8.42151138628814,2927924221248437376
Eclipsing Binary,0.59,302.92670888616374,22.40272484729396,1.7750092,18.58576,2.4399074547363315,10.522626769686344,1829858412603120128
CV,0.9566666666666668,269.49187507323234,4.458993615413759,0.69514275,16.273277,2.4035271563132183,8.177522166898642,4472788803304480896
CV,0.9033333333333332,282.5558294088516,24.37226123507026,0.56757736,17.446157,3.027895002041307,9.8518610555525,4534129393091539712
CV,0.7983333333333333,79.08613994042868,-16.559928437807823,0.40153503,15.300489,1.202881470162485,5.701603174145152,2983108331879225344
CV,0.7633333333333333,78.84056892383323,-12.00067904216438,1.0414982,19.017511,2.535473596036056,11.037806461215853,2989076893311254912
CV,0.7666666666666667,79.16423158660774,-10.53727401551276,0.24176407,16.620928,0.8335278606136358,6.22552860335489,2990095865712197632
Eclipsing Binary,0.52,53.80325061933822,65.21435772372612,2.053749,19.557013,4.650704293676418,12.89460663293998,488463027101465728
CV,0.9933333333333332,302.5215415310653,13.050136866731291,0.70326614,17.573004,1.8377909462110376,8.894484538322745,1803110666252889856
Subdwarf,0.8033333333333333,302.488916166057,-7.138819703394085,-0.24018288,14.62451,0.7038987303975084,3.862060909395602,4216730794514795264
Subdwarf,0.6366666666666667,177.14896575566507,-10.918952783062178,1.2965775,17.67297,2.740532969376902,9.862145155617691,3587255989558364928
ZZ Ceti,0.8433333333333334,181.00769920649347,-6.891522159297001,0.0017318726,17.231825,9.4363680570563,12.105849359049577,3594834132936380032
ZZ Ceti,0.6583333333333333,182.55201538085865,-6.227239551298027,0.13220024,18.54458,4.293741547224309,11.708759497203044,3596253907389256576
CV,0.5066666666666667,174.458153115427,-20.12698386016816,0.25582314,18.844744,4.248551638594853,11.985948506049466,3541998025080414336
CV,0.995,331.21114625040207,40.14403215835757,0.55682564,18.497786,2.230458058221049,10.239756305665766,1956566510538468224
CV,0.9333333333333332,302.899384067626,-2.227942390189703,1.3053112,18.436121,2.3769775809791485,10.316246427986798,4223502720986764672
Eclipsing Binary,0.7433333333333333,355.2253058130946,50.21234681551103,0.09853172,18.433147,5.8562024555502425,12.271227411809434,1943751221480379648
