class,probability,ra,dec,parallax,source_id,source_id_1,name,wdname,spectype,comp,logg,mass,binarity,ismag,hasdisk,variability,source_id_2,bp_rp,G,absolute magnitude
CV,Known Variable,289.20455840353964,-26.24269025337558,2.1846300357318698,6769204324939596672,,,,,,,,,,,,,,,
CV,Known Variable,294.64945316338793,-46.215976566688994,5.327462924169278,6684490840966796928,,,,,,,,,,,,,,,
CV,Known Variable,318.921253202551,-58.68178727115081,4.217880249502435,6453536224527716224,,,,,,,,,,,,,,,
CV,Known Variable,299.2982055205022,-57.63969351541584,3.519716929146918,6447773336193467520,,,,,,,,,,,,,,,
CV,Known Variable,302.2328523128919,-65.46206257650644,1.5773501524267246,6427690176495592960,,,,,,,,,,,,,,,
CV,Known Variable,319.7080429385965,-64.42039014895859,1.534009138917114,6401799112903799168,,,,,,,,,,,,,,,
CV,Known Variable,325.572404455066,-67.80036065285002,2.2325671514002403,6397189827017123072,,,,,,,,,,,,,,,
CV,Known Variable,329.9771964413118,-68.84361913004906,3.090100150999971,6396170751536790016,,,,,,,,,,,,,,,
CV,Known Variable,229.98025197894387,-25.00673233228796,8.845682686489797,6226943645600487552,,,,,,,,,,,,,,,
CV,Known Variable,193.1003174469929,-29.24875402703625,17.571594551552845,6185040879503491584,,,,,,,,,,,,,,,
CV,Known Variable,195.1210452091761,-30.88244520134729,2.725629369116556,6184077776037155072,,,,,,,,,,,,,,,
CV,Known Variable,202.9745836307912,-29.683097847590947,3.0557172237005576,6175970630128957568,,,,,,,,,,,,,,,
CV,Known Variable,138.19170827415067,-3.821306656961674,1.517330602501142,5759752908615824128,,,,,,,,,,,,,,,
CV,Known Variable,134.83257639249547,-24.48203791091042,4.029128989359587,5652773897568243072,,,,,,,,,,,,,,,
CV,Known Variable,91.12849259574264,-71.42272286620083,1.8169484154825324,5278321915508032256,,,,,,,,,,,,,,,
CV,Known Variable,58.54292721882824,-16.881016613677012,3.1287237876909733,5107845936158224768,,,,,,,,,,,,,,,
CV,Known Variable,62.85730432913309,-15.39001101920761,2.70428559879979,5097770801875122432,,,,,,,,,,,,,,,
CV,Known Variable,66.4798375280787,-19.758615256299507,2.715082218174532,5092046675621447552,,,,,,,,,,,,,,,
CV,Known Variable,66.17151609108389,-20.12003306900644,5.332597883928711,5091939988633728640,,,,,,,,,,,,,,,
CV,Known Variable,53.869470960586746,-25.73938583074852,4.178527967080996,5084805635638179584,,,,,,,,,,,,,,,
CV,Known Variable,22.21912996279616,-23.662367445315887,3.506326823850406,5041907811522399488,,,,,,,,,,,,,,,
CV,Known Variable,87.43917093054928,-49.36560979828657,3.0886529931218893,4794480174438869632,,,,,,,,,,,,,,,
CV,Known Variable,71.70842937071987,-71.38219925165086,2.778343020546375,4654758944077464192,,,,,,,,,,,,,,,
CV,Known Variable,254.2421964416153,21.360852249192373,1.8215644775374995,4565045873343899136,,,,,,,,,,,,,,,
CV,Known Variable,253.49606077653627,20.16952779839806,1.3009640646507312,4564460623922361472,,,,,,,,,,,,,,,
CV,Known Variable,272.1493413502918,10.174922304019324,3.409816888613936,4482863941883637632,,,,,,,,,,,,,,,
CV,Known Variable,246.33452634005369,12.052399032275764,2.2820192309638947,4459922356886052992,,,,,,,,,,,,,,,
CV,Known Variable,248.94053834995628,11.416102368766788,0.8737475147475209,4459185168703405568,,,,,,,,,,,,,,,
CV,Known Variable,247.8370191453403,10.526087031958347,2.0316070700581714,4458774810347862528,,,,,,,,,,,,,,,
CV,Known Variable,304.391137415184,-3.664220725913196,1.5277963634299083,4222299752184927616,,,,,,,,,,,,,,,
CV,Known Variable,291.5450717185344,-10.258458729834352,3.327140831112538,4200218019655998720,,,,,,,,,,,,,,,
CV,Known Variable,295.04754669939405,-10.423822727231956,2.192924827162936,4193346037615507968,,,,,,,,,,,,,,,
