Class,Probability,RA,Dec,BP-RP,G,Parallax,Absolute Magnitude,Source ID
CV,Known Variable,53.869470960586746,-25.73938583074852,0.6602688,16.63771,4.178527967080996,9.742826566329896,5084805635638179584
CV,Known Variable,22.21912996279616,-23.662367445315887,0.71874046,17.566856,3.506326823850406,10.291117970625145,5041907811522399488
CV,Known Variable,87.43917093054928,-49.36560979828657,0.70373154,17.199385,3.0886529931218893,9.64823059259547,4794480174438869632
CV,Known Variable,71.70842937071987,-71.38219925165086,0.7325516,18.69893,2.778343020546375,10.917859318480058,4654758944077464192
CV,Known Variable,254.2421964416153,21.360852249192373,0.57642555,18.077215,1.8215644775374995,9.379437742405573,4565045873343899136
CV,Known Variable,253.49606077653627,20.16952779839806,0.58719635,18.102013,1.3009640646507312,8.673339503025328,4564460623922361472
CV,Known Variable,272.1493413502918,10.174922304019324,0.69553375,16.981903,3.409816888613936,9.64555828733818,4482863941883637632
CV,Known Variable,246.33452634005369,12.052399032275764,0.8080311,18.430986,2.2820192309638947,10.222582499855127,4459922356886052992
CV,Known Variable,248.94053834995628,11.416102368766788,0.15324402,15.220332,0.8737475147475209,4.927261767328215,4459185168703405568
CV,Known Variable,247.8370191453403,10.526087031958347,0.6291523,18.394264,2.0316070700581714,9.933462577590015,4458774810347862528
CV,Known Variable,304.391137415184,-3.664220725913196,0.4683447,14.825953,1.5277963634299083,5.746280359770639,4222299752184927616
CV,Known Variable,291.5450717185344,-10.258458729834352,0.8628597,17.959171,3.327140831112538,10.569526920305345,4200218019655998720
CV,Known Variable,295.04754669939405,-10.423822727231956,0.46621418,15.783683,2.192924827162936,7.488801722209121,4193346037615507968
CV,Known Variable,265.8346438947984,-4.499234131634716,0.71334934,16.000708,4.6201956119306695,9.324009816507536,4176399299256927488
CV,Known Variable,177.48200437697258,28.75199218592987,0.2906227,18.88282,3.481798392973296,11.591838102496354,4019704731785215360
CV,Known Variable,166.41569730496008,25.10782702950914,0.9543457,16.1847,8.73670697706783,10.891438850141403,3996419759863758592
CV,Known Variable,153.89434684975276,9.078324470719089,0.7740078,18.37426,3.873737194309449,11.314910767856656,3876618514794039040
CV,Known Variable,174.6113566288713,3.3683500386578524,0.40028858,15.940135,7.921960890962959,10.434298470270113,3800596876396315648
CV,Known Variable,174.3424234775299,1.8163491197971005,0.871088,18.202242,3.5640694860389592,10.961972812835848,3799290858445023488
